subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,timestamp
1,ae,50,294,"{'cp': 1176, 'cx': 98, 'u': 50, 'measure': 50, 'u2': 49, 'u3': 49, 'h': 49, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1454,"{'cx': 4745, 'rz': 3966, 'sx': 1461, 'x': 66, 'measure': 50, 'barrier': 1}",1723435070.052922
1,twolocalrandom,5,22,"{'cx': 30, 'ry': 20, 'measure': 5, 'barrier': 1}",7,87,"{'cx': 62, 'rz': 42, 'sx': 40, 'measure': 5, 'x': 1, 'barrier': 1}",16,86,"{'cx': 60, 'rz': 49, 'sx': 47, 'measure': 5, 'barrier': 1}",27,84,"{'cx': 60, 'rz': 54, 'sx': 44, 'measure': 5, 'x': 1, 'barrier': 1}",127,90,"{'cx': 62, 'rz': 44, 'sx': 41, 'measure': 5, 'x': 1, 'barrier': 1}",1723435670.052922
1,su2random,9,38,"{'cx': 108, 'u3': 36, 'measure': 9, 'barrier': 1}",-1,-1,{},16,229,"{'cx': 279, 'rz': 177, 'sx': 139, 'measure': 9, 'x': 3, 'barrier': 1}",27,261,"{'cx': 310, 'rz': 168, 'sx': 134, 'measure': 9, 'x': 5, 'barrier': 1}",127,217,"{'cx': 292, 'rz': 142, 'sx': 120, 'measure': 9, 'x': 1, 'barrier': 1}",1723436270.052922
1,twolocalrandom,10,42,"{'cx': 135, 'ry': 40, 'measure': 10, 'barrier': 1}",-1,-1,{},16,322,"{'cx': 406, 'rz': 203, 'sx': 157, 'measure': 10, 'x': 7, 'barrier': 1}",27,263,"{'cx': 365, 'rz': 180, 'sx': 140, 'measure': 10, 'x': 4, 'barrier': 1}",127,275,"{'cx': 370, 'rz': 185, 'sx': 144, 'x': 12, 'measure': 10, 'barrier': 1}",1723436870.052922
1,qpeinexact,42,125,"{'cp': 861, 'h': 82, 'measure': 41, 'swap': 20, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1710,"{'cx': 4532, 'rz': 3015, 'sx': 914, 'x': 116, 'measure': 41, 'barrier': 1}",1723438370.052922
1,random,47,579,"{'cx': 1426, 'u2': 754, 'cu1': 482, 'u1': 392, 'h': 319, 'ry': 261, 'u3': 238, 'rx': 153, 'ccx': 109, 'rzz': 95, 't': 85, 'cu3': 83, 'tdg': 74, 'rz': 66, 's': 62, 'crz': 54, 'swap': 49, 'cswap': 49, 'cy': 47, 'measure': 47, 'cry': 46, 'crx': 45, 'sx': 44, 'cz': 44, 'cp': 44, 'rxx': 44, 'x': 42, 'ch': 41, 'p': 29, 'sdg': 20, 'z': 18, 'u': 16, 'y': 16, 'sxdg': 15, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,7717,"{'cx': 26079, 'rz': 9940, 'sx': 4712, 'x': 423, 'measure': 47, 'barrier': 1}",1723438408.616976
1,qft,27,55,"{'cp': 351, 'h': 27, 'measure': 27, 'swap': 13, 'barrier': 1}",-1,-1,{},-1,-1,{},27,731,"{'cx': 1686, 'rz': 1229, 'sx': 337, 'x': 49, 'measure': 27, 'barrier': 1}",127,641,"{'cx': 1638, 'rz': 1290, 'sx': 403, 'x': 51, 'measure': 27, 'barrier': 1}",1723438409.328104
1,qpeexact,24,65,"{'cp': 273, 'h': 46, 'measure': 23, 'swap': 11, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,751,"{'cx': 1480, 'rz': 1057, 'sx': 282, 'x': 39, 'measure': 23, 'barrier': 1}",127,903,"{'cx': 1467, 'rz': 1154, 'sx': 348, 'x': 50, 'measure': 23, 'barrier': 1}",1723438475.624827
1,qpeexact,29,86,"{'cp': 406, 'h': 56, 'measure': 28, 'swap': 14, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,998,"{'cx': 2168, 'rz': 1556, 'sx': 456, 'x': 64, 'measure': 28, 'barrier': 1}",1723438612.760189
1,ghz,19,20,"{'measure': 19, 'cx': 18, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,22,"{'measure': 19, 'cx': 18, 'rz': 2, 'sx': 1, 'barrier': 1}",127,22,"{'measure': 19, 'cx': 18, 'rz': 2, 'sx': 1, 'barrier': 1}",1723438694.89794
1,qpeinexact,41,122,"{'cp': 820, 'h': 80, 'measure': 40, 'swap': 20, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1924,"{'cx': 4246, 'rz': 3061, 'sx': 997, 'x': 112, 'measure': 40, 'barrier': 1}",1723439294.89794
1,qft,13,27,"{'cp': 78, 'h': 13, 'measure': 13, 'swap': 6, 'barrier': 1}",-1,-1,{},16,275,"{'cx': 384, 'rz': 342, 'sx': 123, 'x': 17, 'measure': 13, 'barrier': 1}",27,303,"{'cx': 402, 'rz': 285, 'sx': 73, 'x': 13, 'measure': 13, 'barrier': 1}",127,295,"{'cx': 387, 'rz': 319, 'sx': 109, 'x': 15, 'measure': 13, 'barrier': 1}",1723439894.89794
1,qpeinexact,30,89,"{'cp': 435, 'h': 58, 'measure': 29, 'swap': 14, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1121,"{'cx': 2358, 'rz': 1508, 'sx': 385, 'x': 48, 'measure': 29, 'barrier': 1}",1723440494.89794
1,ae,44,258,"{'cp': 903, 'cx': 86, 'u': 44, 'measure': 44, 'u2': 43, 'u3': 43, 'h': 43, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1607,"{'rz': 3712, 'cx': 3702, 'sx': 1521, 'x': 120, 'measure': 44, 'barrier': 1}",1723441994.89794
1,dj,39,41,"{'h': 42, 'cx': 38, 'measure': 38, 'u2': 35, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,174,"{'rz': 151, 'cx': 128, 'sx': 83, 'measure': 38, 'x': 8, 'barrier': 1}",1723442071.789709
