subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,timestamp
1,qpeinexact,16,47,"{'cp': 120, 'h': 30, 'measure': 15, 'swap': 7, 'x': 1, 'barrier': 1}",-1,-1,{},16,489,"{'cx': 652, 'rz': 506, 'sx': 152, 'x': 16, 'measure': 15, 'barrier': 1}",27,502,"{'cx': 636, 'rz': 503, 'sx': 147, 'x': 24, 'measure': 15, 'barrier': 1}",127,503,"{'cx': 587, 'rz': 494, 'sx': 142, 'x': 22, 'measure': 15, 'barrier': 1}",1723435661.653727
1,dj,47,49,"{'u2': 47, 'h': 46, 'cx': 46, 'measure': 46, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,215,"{'rz': 186, 'cx': 177, 'sx': 99, 'measure': 46, 'x': 8, 'barrier': 1}",1723436024.153727
1,dj,47,49,"{'u2': 47, 'h': 46, 'cx': 46, 'measure': 46, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,215,"{'rz': 186, 'cx': 177, 'sx': 99, 'measure': 46, 'x': 8, 'barrier': 1}",1723436362.903727
1,qnn,13,125,"{'cx': 324, 'p': 156, 'u2': 26, 'ry': 26, 'measure': 13, 'barrier': 1}",-1,-1,{},16,458,"{'cx': 667, 'rz': 437, 'sx': 181, 'x': 30, 'measure': 13, 'barrier': 1}",27,404,"{'cx': 662, 'rz': 456, 'sx': 202, 'x': 29, 'measure': 13, 'barrier': 1}",127,463,"{'cx': 651, 'rz': 486, 'sx': 210, 'x': 40, 'measure': 13, 'barrier': 1}",1723436677.903727
1,twolocalrandom,21,86,"{'cx': 630, 'ry': 84, 'measure': 21, 'barrier': 1}",-1,-1,{},-1,-1,{},27,485,"{'cx': 1754, 'rz': 840, 'sx': 595, 'x': 51, 'measure': 21, 'barrier': 1}",127,484,"{'cx': 1560, 'rz': 680, 'sx': 489, 'x': 45, 'measure': 21, 'barrier': 1}",1723436969.153727
1,random,2,12,"{'cx': 4, 'rx': 3, 'u2': 3, 'ry': 2, 'measure': 2, 'rzz': 1, 'rz': 1, 'u3': 1, 'u1': 1, 'barrier': 1}",7,13,"{'rz': 10, 'sx': 7, 'cx': 2, 'measure': 2, 'barrier': 1}",16,14,"{'rz': 10, 'sx': 7, 'cx': 2, 'measure': 2, 'barrier': 1}",27,13,"{'rz': 10, 'sx': 7, 'cx': 2, 'measure': 2, 'barrier': 1}",127,14,"{'rz': 10, 'sx': 7, 'cx': 2, 'measure': 2, 'barrier': 1}",1723437236.653727
1,su2random,13,54,"{'cx': 234, 'u3': 52, 'measure': 13, 'barrier': 1}",-1,-1,{},16,504,"{'cx': 881, 'rz': 381, 'sx': 288, 'measure': 13, 'x': 4, 'barrier': 1}",27,440,"{'cx': 702, 'rz': 328, 'sx': 236, 'x': 16, 'measure': 13, 'barrier': 1}",127,379,"{'cx': 681, 'rz': 339, 'sx': 260, 'x': 13, 'measure': 13, 'barrier': 1}",1723437480.403727
1,random,18,161,"{'cx': 196, 'u2': 106, 'cu1': 67, 'h': 56, 'u1': 50, 'u3': 38, 'ry': 26, 'rx': 21, 'measure': 18, 'cu3': 14, 'rzz': 14, 'rz': 13, 's': 12, 'tdg': 12, 't': 12, 'ccx': 11, 'cry': 10, 'swap': 10, 'ch': 9, 'cz': 8, 'sx': 7, 'crz': 7, 'x': 7, 'crx': 7, 'cp': 6, 'cy': 6, 'cswap': 5, 'u': 4, 'p': 4, 'rxx': 3, 'sxdg': 2, 'y': 2, 'z': 2, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1174,"{'cx': 2076, 'rz': 1303, 'sx': 630, 'x': 54, 'measure': 18, 'barrier': 1}",127,1135,"{'cx': 1954, 'rz': 1354, 'sx': 668, 'x': 45, 'measure': 18, 'barrier': 1}",1723437700.403727
1,random,18,161,"{'cx': 196, 'u2': 106, 'cu1': 67, 'h': 56, 'u1': 50, 'u3': 38, 'ry': 26, 'rx': 21, 'measure': 18, 'cu3': 14, 'rzz': 14, 'rz': 13, 's': 12, 'tdg': 12, 't': 12, 'ccx': 11, 'cry': 10, 'swap': 10, 'ch': 9, 'cz': 8, 'sx': 7, 'crz': 7, 'x': 7, 'crx': 7, 'cp': 6, 'cy': 6, 'cswap': 5, 'u': 4, 'p': 4, 'rxx': 3, 'sxdg': 2, 'y': 2, 'z': 2, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1174,"{'cx': 2076, 'rz': 1303, 'sx': 630, 'x': 54, 'measure': 18, 'barrier': 1}",127,1135,"{'cx': 1954, 'rz': 1354, 'sx': 668, 'x': 45, 'measure': 18, 'barrier': 1}",1723437896.653727
1,twolocalrandom,45,182,"{'cx': 2970, 'ry': 180, 'measure': 45, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1544,"{'cx': 8237, 'rz': 3214, 'sx': 1968, 'x': 201, 'measure': 45, 'barrier': 1}",1723438069.153727
1,twolocalrandom,22,90,"{'cx': 693, 'ry': 88, 'measure': 22, 'barrier': 1}",-1,-1,{},-1,-1,{},27,526,"{'cx': 1880, 'rz': 751, 'sx': 515, 'x': 32, 'measure': 22, 'barrier': 1}",127,481,"{'cx': 2069, 'rz': 347, 'sx': 277, 'measure': 22, 'x': 13, 'barrier': 1}",1723438217.903727
1,qnn,47,465,"{'cx': 4370, 'p': 2162, 'u2': 94, 'ry': 94, 'measure': 47, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1624,"{'rz': 9662, 'cx': 7843, 'sx': 5678, 'x': 222, 'measure': 47, 'barrier': 1}",1723438342.903727
1,dj,16,18,"{'u2': 19, 'cx': 15, 'measure': 15, 'h': 12, 'barrier': 1}",-1,-1,{},16,61,"{'rz': 66, 'sx': 36, 'cx': 26, 'measure': 15, 'x': 3, 'barrier': 1}",27,64,"{'rz': 57, 'cx': 39, 'sx': 32, 'measure': 15, 'x': 1, 'barrier': 1}",127,58,"{'rz': 57, 'cx': 38, 'sx': 34, 'measure': 15, 'x': 2, 'barrier': 1}",1723438444.153727
1,qpeexact,3,7,"{'h': 4, 'cp': 2, 'measure': 2, 'x': 1, 'swap': 1, 'barrier': 1}",7,20,"{'rz': 14, 'sx': 8, 'cx': 4, 'measure': 2, 'x': 1, 'barrier': 1}",16,16,"{'rz': 15, 'sx': 8, 'cx': 4, 'measure': 2, 'x': 1, 'barrier': 1}",27,21,"{'rz': 15, 'sx': 8, 'cx': 4, 'x': 2, 'measure': 2, 'barrier': 1}",127,16,"{'rz': 15, 'sx': 8, 'cx': 4, 'measure': 2, 'x': 1, 'barrier': 1}",1723438521.653727
1,qnn,39,385,"{'cx': 3002, 'p': 1482, 'u2': 78, 'ry': 78, 'measure': 39, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1452,"{'rz': 7040, 'cx': 5266, 'sx': 4184, 'x': 196, 'measure': 39, 'barrier': 1}",1723438575.403727
