subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,timestamp
1,qnn,30,295,"{'cx': 1769, 'p': 870, 'u2': 60, 'ry': 60, 'measure': 30, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,917,"{'cx': 3634, 'rz': 2642, 'sx': 1327, 'x': 73, 'measure': 30, 'barrier': 1}",1723431653.797377
1,qftentangled,43,89,"{'cp': 903, 'h': 44, 'measure': 43, 'cx': 42, 'swap': 21, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1319,"{'cx': 4333, 'rz': 2804, 'sx': 642, 'x': 73, 'measure': 43, 'barrier': 1}",1723431713.452392
1,realamprandom,13,54,"{'cx': 234, 'ry': 52, 'measure': 13, 'barrier': 1}",-1,-1,{},16,490,"{'cx': 906, 'rz': 296, 'sx': 235, 'measure': 13, 'x': 2, 'barrier': 1}",27,453,"{'cx': 755, 'rz': 363, 'sx': 272, 'x': 16, 'measure': 13, 'barrier': 1}",127,266,"{'cx': 652, 'rz': 146, 'sx': 132, 'measure': 13, 'x': 2, 'barrier': 1}",1723432313.452392
1,twolocalrandom,13,54,"{'cx': 234, 'ry': 52, 'measure': 13, 'barrier': 1}",-1,-1,{},16,508,"{'cx': 904, 'rz': 291, 'sx': 215, 'measure': 13, 'x': 7, 'barrier': 1}",27,464,"{'cx': 758, 'rz': 334, 'sx': 246, 'x': 16, 'measure': 13, 'barrier': 1}",127,398,"{'cx': 749, 'rz': 223, 'sx': 179, 'measure': 13, 'x': 9, 'barrier': 1}",1723432913.452392
1,dj,16,18,"{'u2': 19, 'cx': 15, 'measure': 15, 'h': 12, 'barrier': 1}",-1,-1,{},16,61,"{'rz': 66, 'sx': 36, 'cx': 26, 'measure': 15, 'x': 3, 'barrier': 1}",27,64,"{'rz': 57, 'cx': 39, 'sx': 32, 'measure': 15, 'x': 1, 'barrier': 1}",127,58,"{'rz': 57, 'cx': 38, 'sx': 34, 'measure': 15, 'x': 2, 'barrier': 1}",1723433513.452392
1,ae,8,42,"{'cp': 21, 'cx': 14, 'u': 8, 'measure': 8, 'u2': 7, 'u3': 7, 'h': 7, 'barrier': 1}",-1,-1,{},16,168,"{'rz': 141, 'cx': 91, 'sx': 70, 'measure': 8, 'x': 5, 'barrier': 1}",27,178,"{'rz': 134, 'cx': 97, 'sx': 67, 'measure': 8, 'x': 3, 'barrier': 1}",127,169,"{'rz': 127, 'cx': 98, 'sx': 59, 'measure': 8, 'x': 5, 'barrier': 1}",1723434113.452392
1,realamprandom,37,150,"{'cx': 1998, 'ry': 148, 'measure': 37, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1490,"{'cx': 6154, 'rz': 2525, 'sx': 1659, 'x': 136, 'measure': 37, 'barrier': 1}",1723434713.452392
1,ghz,26,27,"{'measure': 26, 'cx': 25, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,69,"{'cx': 36, 'rz': 31, 'measure': 26, 'sx': 21, 'x': 1, 'barrier': 1}",127,29,"{'measure': 26, 'cx': 25, 'rz': 2, 'sx': 1, 'barrier': 1}",1723435313.452392
1,dj,9,11,"{'u2': 11, 'cx': 8, 'measure': 8, 'h': 6, 'barrier': 1}",-1,-1,{},16,36,"{'rz': 32, 'cx': 19, 'sx': 18, 'measure': 8, 'x': 1, 'barrier': 1}",27,32,"{'rz': 31, 'sx': 18, 'cx': 18, 'measure': 8, 'x': 1, 'barrier': 1}",127,29,"{'rz': 30, 'sx': 18, 'cx': 16, 'measure': 8, 'x': 2, 'barrier': 1}",1723435913.452392
1,qpeinexact,37,110,"{'cp': 666, 'h': 72, 'measure': 36, 'swap': 18, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1369,"{'cx': 3447, 'rz': 2648, 'sx': 914, 'x': 89, 'measure': 36, 'barrier': 1}",1723436513.452392
1,qft,8,17,"{'cp': 28, 'h': 8, 'measure': 8, 'swap': 4, 'barrier': 1}",-1,-1,{},16,139,"{'cx': 136, 'rz': 88, 'sx': 16, 'measure': 8, 'x': 1, 'barrier': 1}",27,130,"{'cx': 123, 'rz': 122, 'sx': 48, 'measure': 8, 'x': 6, 'barrier': 1}",127,134,"{'cx': 126, 'rz': 110, 'sx': 36, 'measure': 8, 'x': 7, 'barrier': 1}",1723437113.452392
1,twolocalrandom,19,78,"{'cx': 513, 'ry': 76, 'measure': 19, 'barrier': 1}",-1,-1,{},-1,-1,{},27,383,"{'cx': 1344, 'rz': 242, 'sx': 210, 'measure': 19, 'x': 6, 'barrier': 1}",127,724,"{'cx': 1638, 'rz': 563, 'sx': 420, 'x': 29, 'measure': 19, 'barrier': 1}",1723437713.452392
1,qftentangled,5,13,"{'cp': 10, 'h': 6, 'measure': 5, 'cx': 4, 'swap': 2, 'barrier': 1}",7,75,"{'cx': 49, 'rz': 39, 'sx': 10, 'measure': 5, 'x': 2, 'barrier': 1}",16,75,"{'cx': 49, 'rz': 39, 'sx': 10, 'measure': 5, 'x': 2, 'barrier': 1}",27,75,"{'cx': 49, 'rz': 39, 'sx': 10, 'measure': 5, 'x': 2, 'barrier': 1}",127,75,"{'cx': 49, 'rz': 39, 'sx': 10, 'measure': 5, 'x': 2, 'barrier': 1}",1723438313.452392
1,ae,33,192,"{'cp': 496, 'cx': 64, 'u': 33, 'measure': 33, 'u2': 32, 'u3': 32, 'h': 32, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1141,"{'cx': 2538, 'rz': 1745, 'sx': 472, 'x': 41, 'measure': 33, 'barrier': 1}",1723438913.452392
1,qpeinexact,14,41,"{'cp': 91, 'h': 26, 'measure': 13, 'swap': 6, 'x': 1, 'barrier': 1}",-1,-1,{},16,418,"{'cx': 438, 'rz': 366, 'sx': 110, 'x': 16, 'measure': 13, 'barrier': 1}",27,441,"{'cx': 459, 'rz': 357, 'sx': 101, 'x': 14, 'measure': 13, 'barrier': 1}",127,397,"{'cx': 460, 'rz': 337, 'sx': 81, 'measure': 13, 'x': 12, 'barrier': 1}",1723439513.452392
